종목코드 + 날짜,종목명,시장구분,업종명,종가,대비,등락률,시가총액
095570/20240329,AJ네트웍스,KOSPI,서비스업,4865,-255,-4.98,220154672535
006840/20240329,AK홀딩스,KOSPI,기타금융,15100,-460,-2.96,200038171100
027410/20240329,BGF,KOSPI,기타금융,3740,-55,-1.45,357980798340
282330/20240329,BGF리테일,KOSPI,유통업,117700,700,0.6,2034315736200
138930/20240329,BNK금융지주,KOSPI,기타금융,7770,-210,-2.63,2502627163260
001460/20240329,BYC,KOSPI,섬유의복,492000,4500,0.92,307310580000
001465/20240329,BYC우,KOSPI,섬유의복,193700,4200,2.22,41720074500
001040/20240329,CJ,KOSPI,기타금융,129800,7600,6.22,3787174340400
079160/20240329,CJ CGV,KOSPI,서비스업,5540,-20,-0.36,678273235680
00104K/20240329,CJ4우(전환),KOSPI,기타금융,91000,2000,2.25,384612592000
000120/20240329,CJ대한통운,KOSPI,운수창고업,114900,-4800,-4.01,2621138325600
011150/20240329,CJ씨푸드,KOSPI,음식료품,2700,-5,-0.18,97013087100
011155/20240329,CJ씨푸드1우,KOSPI,음식료품,20600,150,0.73,4120000000
001045/20240329,CJ우,KOSPI,기타금융,63500,1500,2.42,143524160500
097950/20240329,CJ제일제당,KOSPI,음식료품,294000,2000,0.68,4425930684000
097955/20240329,CJ제일제당 우,KOSPI,음식료품,138000,-200,-0.14,183185754000
000480/20240329,CR홀딩스,KOSPI,비금속광물,6070,-20,-0.33,284625274300
000590/20240329,CS홀딩스,KOSPI,기타금융,65900,0,0.0,76080363800
012030/20240329,DB,KOSPI,서비스업,1548,1,0.06,311417248284
016610/20240329,DB금융투자,KOSPI,증권,4210,-55,-1.29,178699297690
005830/20240329,DB손해보험,KOSPI,보험,94700,-1600,-1.66,6704760000000
000990/20240329,DB하이텍,KOSPI,전기전자,43250,-650,-1.48,1920238931000
139130/20240329,DGB금융지주,KOSPI,기타금융,8550,-150,-1.72,1446196872150
001530/20240329,DI동일,KOSPI,유통업,27400,600,2.24,677838818200
000210/20240329,DL,KOSPI,화학,52600,200,0.38,1102279498400
000215/20240329,DL우,KOSPI,화학,26650,250,0.95,44934964750
375500/20240329,DL이앤씨,KOSPI,건설업,36150,-650,-1.77,1398774471450
37550L/20240329,DL이앤씨2우(전환),KOSPI,건설업,24550,0,0.0,51848397050
37550K/20240329,DL이앤씨우,KOSPI,건설업,18520,-40,-0.22,39149150200
007340/20240329,DN오토모티브,KOSPI,전기전자,82400,-900,-1.08,823506012000
004840/20240329,DRB동일,KOSPI,화학,5910,-110,-1.83,117786300000
155660/20240329,DSR,KOSPI,철강금속,4205,-30,-0.71,67280000000
069730/20240329,DSR제강,KOSPI,철강금속,4145,15,0.36,59688000000
017860/20240329,DS단석,KOSPI,화학,147600,1400,0.96,865143230400
017940/20240329,E1,KOSPI,유통업,66700,-300,-0.45,457562000000
365550/20240329,ESR켄달스퀘어리츠,KOSPI,서비스업,4360,-45,-1.02,929068040000
383220/20240329,F&F,KOSPI,섬유의복,70300,-1400,-1.95,2692987372500
007700/20240329,F&F홀딩스,KOSPI,기타금융,14990,-170,-1.12,586324361330
114090/20240329,GKL,KOSPI,서비스업,12860,-20,-0.16,795463916200
078930/20240329,GS,KOSPI,기타금융,48250,-250,-0.52,4483166988500
006360/20240329,GS건설,KOSPI,건설업,14950,-230,-1.52,1279443275500
001250/20240329,GS글로벌,KOSPI,유통업,2705,35,1.31,223253831620
