단축코드,시가총액,날짜,표준코드
152100,827604000000,20190329,KR7152100004
295820,6338500000,20190329,KR7295820005
253150,7980000000,20190329,KR7253150007
253160,3678750000,20190329,KR7253160006
292750,37990000000,20190329,KR7292750007
269530,6453000000,20190329,KR7269530002
251590,31059000000,20190329,KR7251590006
161510,342089100000,20190329,KR7161510003
251600,14973000000,20190329,KR7251600003
289670,5569500000,20190329,KR7289670002
298340,5993140000,20190329,KR7298340001
189400,6571350000,20190329,KR7189400005
278620,28958455000,20190329,KR7278620000
269540,15112500000,20190329,KR7269540001
287180,10102250000,20190329,KR7287180004
213630,6789300000,20190329,KR7213630007
195970,5443200000,20190329,KR7195970009
238670,6168000000,20190329,KR7238670004
195980,22723200000,20190329,KR7195980008
256450,2230500000,20190329,KR7256450008
239660,16847200000,20190329,KR7239660004
280920,10471500000,20190329,KR7280920000
266550,26376000000,20190329,KR7266550003
301400,4786000000,20190329,KR7301400008
301410,4410000000,20190329,KR7301410007
227830,84151000000,20190329,KR7227830007
122090,80258400000,20190329,KR7122090004
285690,28336000000,20190329,KR7285690004
292730,19635000000,20190329,KR7292730009
293180,752005500000,20190329,KR7293180006
304780,17810000000,20190329,KR7304780000
306520,10172500000,20190329,KR7306520008
304760,15624000000,20190329,KR7304760002
314700,10410000000,20190329,KR7314700006
304770,29433900000,20190329,KR7304770001
306530,7336000000,20190329,KR7306530007
148020,1269000000000,20190329,KR7148020001
285000,12368400000,20190329,KR7285000006
287300,6834000000,20190329,KR7287300008
287310,5771700000,20190329,KR7287310007
290080,7007000000,20190329,KR7290080001
284980,7032000000,20190329,KR7284980000
287320,5833600000,20190329,KR7287320006
287330,6138000000,20190329,KR7287330005
252400,45800000000,20190329,KR7252400007
252410,7076000000,20190329,KR7252410006
252420,38324000000,20190329,KR7252420005
284990,5164900000,20190329,KR7284990009
285010,4379200000,20190329,KR7285010005
285020,4752000000,20190329,KR7285020004
315480,7474600000,20190329,KR7315480004
105780,13032000000,20190329,KR7105780001
290130,6588750000,20190329,KR7290130004
270800,72352000000,20190329,KR7270800006
292050,84366000000,20190329,KR7292050002
319870,6937000000,20190329,KR7319870002
234310,7826000000,20190329,KR7234310001
241390,6321000000,20190329,KR7241390004
300640,5559000000,20190329,KR7300640000
266160,56644000000,20190329,KR7266160001
114100,67179000000,20190329,KR7114100001
282000,136229190000,20190329,KR7282000009
295000,21085440000,20190329,KR7295000004
295020,6067100000,20190329,KR7295020002
276650,6616500000,20190329,KR7276650009
272560,88230585000,20190329,KR7272560004
196230,196314325000,20190329,KR7196230007
315960,7199500000,20190329,KR7315960005
252730,27893250000,20190329,KR7252730007
252720,17057750000,20190329,KR7252720008
219390,8274000000,20190329,KR7219390002
267440,6159000000,20190329,KR7267440006
267490,7245000000,20190329,KR7267490001
267450,5769000000,20190329,KR7267450005
267500,6377000000,20190329,KR7267500007
140570,5376000000,20190329,KR7140570003
140580,6294000000,20190329,KR7140580002
183710,13172000000,20190329,KR7183710003
310080,6099500000,20190329,KR7310080007
174360,44688000000,20190329,KR7174360008
136340,63278350000,20190329,KR7136340007
281990,41368500000,20190329,KR7281990002
272570,57033200000,20190329,KR7272570003
250730,10144000000,20190329,KR7250730009
291680,5626500000,20190329,KR7291680007
183700,16636500000,20190329,KR7183700004
270810,174527250000,20190329,KR7270810005
278240,202581600000,20190329,KR7278240007
275750,5089000000,20190329,KR7275750008
302450,217308000000,20190329,KR7302450002
253280,10985000000,20190329,KR7253280002
253290,8504000000,20190329,KR7253290001
105190,700429750000,20190329,KR7105190003
277540,63744750000,20190329,KR7277540001
225130,24321000000,20190329,KR7225130004
299070,4667500000,20190329,KR7299070003
299080,4959000000,20190329,KR7299080002
190620,129388545000,20190329,KR7190620005
265690,9484000000,20190329,KR7265690008
152500,13846000000,20190329,KR7152500005
291130,7256000000,20190329,KR7291130003
280320,10152000000,20190329,KR7280320003
309230,7371000000,20190329,KR7309230001
181480,7759500000,20190329,KR7181480005
143460,18265000000,20190329,KR7143460004
245710,217931000000,20190329,KR7245710009
131890,8247000000,20190329,KR7131890006
108450,31878000000,20190329,KR7108450008
272220,9356000000,20190329,KR7272220005
272230,9621000000,20190329,KR7272230004
316300,7556500000,20190329,KR7316300003
256440,19920000000,20190329,KR7256440009
145670,4968000000,20190329,KR7145670006
238720,8286000000,20190329,KR7238720007
196030,7327500000,20190329,KR7196030001
205720,6781500000,20190329,KR7205720006
168580,243778500000,20190329,KR7168580009
219900,24624000000,20190329,KR7219900008
114460,19142100000,20190329,KR7114460009
272910,64888430000,20190329,KR7272910001
305050,26310000000,20190329,KR7305050007
261920,6086000000,20190329,KR7261920003
226380,5620000000,20190329,KR7226380004
69500,6980356250000,20190329,KR7069500007
226980,78131000000,20190329,KR7226980001
278530,881511750000,20190329,KR7278530001
223190,43238000000,20190329,KR7223190000
252650,16192000000,20190329,KR7252650007
284430,9811200000,20190329,KR7284430006
252670,507969000000,20190329,KR7252670005
305720,16178500000,20190329,KR7305720005
271060,6018750000,20190329,KR7271060006
99140,47311000000,20190329,KR7099140006
204450,40232000000,20190329,KR7204450001
266370,7155000000,20190329,KR7266370006
292190,233625000000,20190329,KR7292190006
306950,30390000000,20190329,KR7306950007
229720,16512000000,20190329,KR7229720008
291890,11643750000,20190329,KR7291890002
289040,21100000000,20190329,KR7289040008
156080,89803500000,20190329,KR7156080004
278540,1729665000000,20190329,KR7278540000
275280,6258000000,20190329,KR7275280006
275290,13477500000,20190329,KR7275290005
275300,5328000000,20190329,KR7275300002
269420,11021440000,20190329,KR7269420006
315930,226620000000,20190329,KR7315930008
261220,13028125000,20190329,KR7261220008
271050,3397500000,20190329,KR7271050007
117700,21205500000,20190329,KR7117700005
300950,10802000000,20190329,KR7300950003
266390,10944000000,20190329,KR7266390004
279530,56605500000,20190329,KR7279530000
132030,82280000000,20190329,KR7132030008
280940,5100000000,20190329,KR7280940008
138910,5170500000,20190329,KR7138910005
114260,94273200000,20190329,KR7114260003
152380,7925850000,20190329,KR7152380002
176950,131206560000,20190329,KR7176950004
292770,5073480000,20190329,KR7292770005
276990,14181750000,20190329,KR7276990009
102960,10689300000,20190329,KR7102960002
273140,135266270000,20190329,KR7273140004
153130,1009974645000,20190329,KR7153130000
214980,1025754030000,20190329,KR7214980005
122630,2388912000000,20190329,KR7122630007
244620,21890000000,20190329,KR7244620001
314250,8820000000,20190329,KR7314250002
219480,48654000000,20190329,KR7219480001
276970,17217000000,20190329,KR7276970001
185680,6149000000,20190329,KR7185680006
200030,7968930000,20190329,KR7200030005
218420,6271920000,20190329,KR7218420008
304940,10064250000,20190329,KR7304940000
261240,12268750000,20190329,KR7261240006
261250,15414000000,20190329,KR7261250005
261270,5434000000,20190329,KR7261270003
261260,8048400000,20190329,KR7261260004
280930,5117500000,20190329,KR7280930009
308620,6357000000,20190329,KR7308620004
304660,6345000000,20190329,KR7304660004
304670,5673000000,20190329,KR7304670003
266360,6552000000,20190329,KR7266360007
244580,16742800000,20190329,KR7244580007
91160,12840000000,20190329,KR7091160002
211900,34526250000,20190329,KR7211900006
237370,19476000000,20190329,KR7237370002
244670,17746000000,20190329,KR7244670006
140700,9924000000,20190329,KR7140700006
102780,1042269000000,20190329,KR7102780004
213610,29420000000,20190329,KR7213610009
251350,326592000000,20190329,KR7251350005
256750,8958000000,20190329,KR7256750001
117460,8099000000,20190329,KR7117460006
140710,2800000000,20190329,KR7140710005
144600,26781000000,20190329,KR7144600004
91170,82342750000,20190329,KR7091170001
114800,535860000000,20190329,KR7114800006
101280,7419000000,20190329,KR7101280006
91180,13300000000,20190329,KR7091180000
273130,711899400000,20190329,KR7273130005
169950,88642500000,20190329,KR7169950003
283580,61473000000,20190329,KR7283580009
102970,79218000000,20190329,KR7102970001
117680,13339200000,20190329,KR7117680009
279540,11502000000,20190329,KR7279540009
229200,875179500000,20190329,KR7229200001
233740,1125376000000,20190329,KR7233740000
251340,290928000000,20190329,KR7251340006
226490,625339000000,20190329,KR7226490001
237350,12888000000,20190329,KR7237350004
138920,7686000000,20190329,KR7138920004
244660,15315000000,20190329,KR7244660007
266410,45356000000,20190329,KR7266410000
298770,4705000000,20190329,KR7298770009
266420,8940000000,20190329,KR7266420009
69660,688853000000,20190329,KR7069660009
294400,198198000000,20190329,KR7294400007
253250,25681600000,20190329,KR7253250005
253240,8599050000,20190329,KR7253240006
253230,12144000000,20190329,KR7253230007
100910,8244000000,20190329,KR7100910009
104530,10825000000,20190329,KR7104530001
148070,46857800000,20190329,KR7148070006
167860,8080500000,20190329,KR7167860006
114470,36791700000,20190329,KR7114470008
130730,49499025000,20190329,KR7130730005
138230,44854650000,20190329,KR7138230008
225800,58144500000,20190329,KR7225800002
230480,29078400000,20190329,KR7230480006
139660,11474500000,20190329,KR7139660005
104520,14418000000,20190329,KR7104520002
200250,13580000000,20190329,KR7200250009
316670,36533000000,20190329,KR7316670009
291630,10270000000,20190329,KR7291630002
291620,12475000000,20190329,KR7291620003
153270,8215600000,20190329,KR7153270004
122260,53726100000,20190329,KR7122260003
295040,265802250000,20190329,KR7295040000
292500,74527500000,20190329,KR7292500006
220130,7785000000,20190329,KR7220130009
102110,4160570000000,20190329,KR7102110004
139260,254345000000,20190329,KR7139260004
139220,41610000000,20190329,KR7139220008
139290,8204100000,20190329,KR7139290001
139270,30346800000,20190329,KR7139270003
227550,3923400000,20190329,KR7227550001
227560,5930400000,20190329,KR7227560000
139250,41932800000,20190329,KR7139250005
139230,17210400000,20190329,KR7139230007
139240,36973400000,20190329,KR7139240006
227540,10449000000,20190329,KR7227540002
243880,24186750000,20190329,KR7243880002
