시장구분,업종명,시가총액,종목코드,날짜,주식 종류,PER,PBR,PCR,PSR
KOSPI,서비스업,220154672535,095570,20240329,보통주,13.95137,0.53399,-12.708,0.23009
KOSPI,기타금융,200038171100,006840,20240329,보통주,6.57706,0.38567,0.42958,0.05057
KOSPI,기타금융,357980798340,027410,20240329,보통주,4.68667,0.22041,5.18776,0.82289
KOSPI,유통업,2034315736200,282330,20240329,보통주,11.58762,2.11104,3.5071,0.27693
KOSPI,기타금융,2502627163260,138930,20240329,보통주,3.62053,0.22491,-399.2222,0.23968
KOSPI,섬유의복,307310580000,001460,20240329,보통주,15.13201,0.66547,11.81908,2.12742
KOSPI,섬유의복,41720074500,001465,20240329,우선주,15.13201,0.66547,11.81908,2.12742
KOSPI,기타금융,3787174340400,001040,20240329,보통주,17.28346,0.57406,0.67105,0.08141
KOSPI,서비스업,678273235680,079160,20240329,보통주,-4.85159,1.67979,2.59062,0.30184
KOSPI,기타금융,384612592000,00104K,20240329,우선주,17.28346,0.57406,0.67105,0.08141
KOSPI,운수창고업,2621138325600,000120,20240329,보통주,12.90788,0.70396,3.46848,0.24658
KOSPI,음식료품,97013087100,011150,20240329,보통주,23.94928,1.36097,19.27478,0.71605
KOSPI,음식료품,4120000000,011155,20240329,우선주,23.94928,1.36097,19.27478,0.71605
KOSPI,기타금융,143524160500,001045,20240329,우선주,17.28346,0.57406,0.67105,0.08141
KOSPI,음식료품,4425930684000,097950,20240329,보통주,13.75297,0.72593,2.17103,0.18287
KOSPI,음식료품,183185754000,097955,20240329,우선주,13.75297,0.72593,2.17103,0.18287
KOSPI,비금속광물,284625274300,000480,20240329,보통주,587.19789,0.45118,8.43225,0.29095
KOSPI,기타금융,76080363800,000590,20240329,보통주,4.31001,0.23444,2.53017,0.41556
KOSPI,서비스업,311417248284,012030,20240329,보통주,17.19465,0.83827,6.64761,0.76024
KOSPI,증권,178699297690,016610,20240329,보통주,26.48398,0.15675,-22.26123,0.13539
KOSPI,보험,6704760000000,005830,20240329,보통주,3.40853,0.49095,1.32798,0.29988
KOSPI,전기전자,1920238931000,000990,20240329,보통주,9.87455,1.4068,11.63103,2.25983
KOSPI,기타금융,1446196872150,139130,20240329,보통주,3.7027,0.23747,0.73643,0.18384
KOSPI,유통업,677838818200,001530,20240329,보통주,238.91856,0.97611,20.10922,1.13194
KOSPI,화학,1102279498400,000210,20240329,보통주,-8.72116,0.30253,3.58052,0.23193
KOSPI,화학,44934964750,000215,20240329,우선주,-8.72116,0.30253,3.58052,0.23193
KOSPI,건설업,1398774471450,375500,20240329,보통주,8.23609,0.30305,6.6885,0.19362
KOSPI,건설업,51848397050,37550L,20240329,우선주,8.23609,0.30305,6.6885,0.19362
KOSPI,건설업,39149150200,37550K,20240329,우선주,8.23609,0.30305,6.6885,0.19362
KOSPI,전기전자,823506012000,007340,20240329,보통주,2.65871,0.55296,2.0504,0.22347
KOSPI,화학,117786300000,004840,20240329,보통주,7.58442,0.2975,1.1334,0.15803
KOSPI,철강금속,67280000000,155660,20240329,보통주,3.95295,0.32077,3.06935,0.23745
KOSPI,철강금속,59688000000,069730,20240329,보통주,4.65026,0.30836,1.44305,0.28265
KOSPI,화학,865143230400,017860,20240329,보통주,36.33066,6.1075,40.61663,1.35838
KOSPI,유통업,457562000000,017940,20240329,보통주,2.00475,0.22175,1.09637,0.0546
KOSPI,서비스업,929068040000,365550,20240329,보통주,62.2953,0.66107,20.22627,13.9423
KOSPI,섬유의복,2692987372500,383220,20240329,보통주,8.03858,2.63641,7.16315,1.72707
KOSPI,기타금융,586324361330,007700,20240329,보통주,4.99909,0.28591,1.30662,0.30779
KOSPI,서비스업,795463916200,114090,20240329,보통주,19.02996,2.02626,9.83268,2.10347
KOSPI,기타금융,4483166988500,078930,20240329,보통주,2.97792,0.2879,1.2822,0.14909
KOSPI,건설업,1279443275500,006360,20240329,보통주,-2.66718,0.29553,2.73614,0.09567
KOSPI,유통업,223253831620,001250,20240329,보통주,7.58005,0.49873,0.86994,0.05374
KOSPI,유통업,2125773816600,007070,20240329,보통주,136.53865,0.58749,2.69978,0.20786
KOSPI,기타금융,68180353200,078935,20240329,우선주,2.97792,0.2879,1.2822,0.14909
KOSPI,기타금융,476738933580,012630,20240329,보통주,3.64074,0.13834,1.68499,0.06967
KOSPI,건설업,219601304460,039570,20240329,보통주,14.69116,0.66207,8.29929,0.31897
KOSPI,화학,144188000000,089470,20240329,보통주,6.82272,0.39026,3.23337,0.14429
KOSPI,건설업,1148764761900,294870,20240329,보통주,5.55988,0.31146,1.50312,0.22961
KOSPI,기타금융,8379536934400,009540,20240329,보통주,38.5929,0.86325,4.11054,0.40178
KOSPI,기타금융,5679602811500,267250,20240329,보통주,18.90598,0.61048,1.27076,0.08153
KOSPI,기계,1140675914700,267270,20240329,보통주,7.30555,0.59697,3.2012,0.26628
KOSPI,전기전자,275520000000,322000,20240329,보통주,-109.30633,0.84251,4.1307,0.57321
KOSPI,기계,1682657108790,042670,20240329,보통주,7.00944,0.89263,3.61362,0.34707
KOSPI,전기전자,6466856019000,267260,20240329,보통주,11.4337,2.82271,-132.05151,1.0963
KOSPI,운수장비,10475227688000,329180,20240329,보통주,463.89444,2.19911,67.82707,0.95719
KOSPI,건설업,274388755895,097230,20240329,보통주,-3.25039,1.0873,2.39405,0.1714
KOSPI,건설업,76474374020,014790,20240329,보통주,3.13927,0.20983,3.154,0.06127
KOSPI,광업,363754249880,003580,20240329,보통주,-9.32609,4.30453,-16.73098,2.66337
KOSPI,운수장비,1563672096000,204320,20240329,보통주,13.62828,0.82833,4.30326,0.22015
KOSPI,기타금융,344234528500,060980,20240329,보통주,6.78225,0.31662,10.58577,0.2663
KOSPI,운수창고업,10831700877120,011200,20240329,보통주,10.70592,0.62929,5.23781,1.2343
KOSPI,서비스업,105368721240,035000,20240329,보통주,6.36964,0.55252,1.77255,0.18823
KOSPI,서비스업,58906362440,003560,20240329,보통주,1.67456,0.59178,5.63861,1.65943
KOSPI,기타금융,2575098213600,175330,20240329,보통주,3.82885,0.43607,-7.48183,0.53499
KOSPI,의약품,196823506220,234080,20240329,보통주,7.24101,1.25028,5.42368,0.98516
KOSPI,의약품,759121318000,001060,20240329,보통주,23.92143,3.29517,10.15687,1.18265
KOSPI,의약품,12451398900,001067,20240329,우선주,23.92143,3.29517,10.15687,1.18265
KOSPI,의약품,10463700600,001065,20240329,우선주,23.92143,3.29517,10.15687,1.18265
KOSPI,기타금융,231015443750,096760,20240329,보통주,13.56009,2.03424,2.29704,0.278
KOSPI,기타금융,28044019504000,105560,20240329,보통주,4.72895,0.35984,5.33102,0.2827
KOSPI,서비스업,433038996950,432320,20240329,보통주,7.69716,0.86788,33.34095,6.02389
KOSPI,화학,2306039224500,002380,20240329,보통주,9.54826,0.32457,2.57598,0.3229
KOSPI,비금속광물,648402787200,344820,20240329,보통주,8.02276,0.43983,3.78679,0.39022
KOSPI,운수창고업,116100000000,009070,20240329,보통주,4.35818,0.42699,1.95995,0.14196
KOSPI,기타금융,58330948000,009440,20240329,보통주,-3.49951,0.54276,-0.87766,0.11274
KOSPI,기계,88118293208,119650,20240329,보통주,-1.52323,1.98081,-0.72932,0.15509
KOSPI,전기전자,285685949643,092220,20240329,보통주,-7.22781,0.8957,-410.03576,1.33203
KOSPI,운수장비,1209605475280,003620,20240329,보통주,181.83887,1.49883,146.06909,0.43432
KOSPI,철강금속,700062279000,016380,20240329,보통주,3.80007,0.47107,2.38261,0.25965
KOSPI,화학,403967336000,001390,20240329,보통주,4.9339,0.51075,1.67083,0.05289
KOSPI,전기전자,120578742570,033180,20240329,보통주,-2.119,0.24221,-4.27947,1.01964
KOSPI,기계,98347340760,015590,20240329,보통주,12.61399,1.44352,27.9955,1.33273
KOSPI,철강금속,370439102000,001940,20240329,보통주,4.22931,0.28303,3.54606,0.24969
KOSPI,화학,223366000000,025000,20240329,보통주,3.24523,0.32481,2.33716,0.23108
KOSPI,화학,245451932600,092230,20240329,보통주,2.58025,0.21656,2.24744,0.17955
KOSPI,운수장비,29861189700,000040,20240329,보통주,-2.25188,1.7432,-4.08836,0.45695
KOSPI,운수창고업,189304216000,044450,20240329,보통주,12.53057,0.49668,1.99768,0.45185
KOSPI,통신업,9721350652000,030200,20240329,보통주,8.85085,0.50609,1.62414,0.33887
KOSPI,기타제조업,12185153469500,033780,20240329,보통주,13.13672,1.06854,9.36657,2.02265
KOSPI,서비스업,148543800000,058850,20240329,보통주,10.48931,0.71591,2.78653,0.14842
KOSPI,서비스업,102317880000,058860,20240329,보통주,7.53697,0.45234,2.07389,0.17696
KOSPI,섬유의복,448834000000,093050,20240329,보통주,4.70242,0.24715,4.19173,0.20414
KOSPI,기타금융,13763836887500,003550,20240329,보통주,10.91937,0.51284,15.60191,1.84971
KOSPI,전기전자,5375000000000,034220,20240329,보통주,-1.70543,0.64465,2.77059,0.21856
KOSPI,화학,5934914860000,051900,20240329,보통주,44.06032,1.09477,9.54365,0.92432
KOSPI,화학,352959065700,051905,20240329,우선주,44.06032,1.09477,9.54365,0.92432
KOSPI,전기전자,92430000000000,373220,20240329,보통주,80.85727,4.95207,22.50922,2.9644
KOSPI,기타금융,194290166000,003555,20240329,우선주,10.91937,0.51284,15.60191,1.84971
KOSPI,통신업,4353015269170,032640,20240329,보통주,7.17201,0.51901,1.50136,0.31077
KOSPI,전기전자,4655319946900,011070,20240329,보통주,10.02878,1.20216,2.69396,0.27509
KOSPI,전기전자,15562907111400,066570,20240329,보통주,25.82246,0.93216,3.11298,0.21856
KOSPI,전기전자,774228939600,066575,20240329,우선주,25.82246,0.93216,3.11298,0.21856
KOSPI,서비스업,270676793175,037560,20240329,보통주,-5.84019,0.46851,3.14003,0.22253
KOSPI,화학,30990038577000,051910,20240329,보통주,29.19864,1.2133,5.18311,0.70701
KOSPI,화학,2279729200000,051915,20240329,우선주,29.19864,1.2133,5.18311,0.70701
KOSPI,기계,3924800000000,079550,20240329,보통주,16.40926,2.70266,6.144,1.24363
KOSPI,기타금융,3651480000000,006260,20240329,보통주,6.88369,0.54015,8.30414,0.12259
KOSPI,전기전자,2934000000000,010120,20240329,보통주,10.66217,1.25461,10.23078,0.51909
KOSPI,유통업,349097360880,000680,20240329,보통주,31.32857,0.55448,22.1316,0.88341
KOSPI,기타금융,576360222780,229640,20240329,보통주,154.98248,4.36035,17.02923,0.87551
KOSPI,전기전자,1291385420000,108320,20240329,보통주,13.94953,1.44533,13.78586,0.74246
KOSPI,유통업,1046520000000,001120,20240329,보통주,9.7328,0.4654,2.11678,0.07851
KOSPI,화학,352429431000,108670,20240329,보통주,7.05661,0.52236,1.17413,0.12366
KOSPI,화학,21369231000,108675,20240329,우선주,7.05661,0.52236,1.17413,0.12366
KOSPI,기타금융,533202023100,383800,20240329,보통주,6.95199,0.32939,6.19514,4.64043
KOSPI,기타금융,13334093500,38380K,20240329,우선주,6.95199,0.32939,6.19514,4.64043
KOSPI,음식료품,46706069580,023150,20240329,보통주,10.79086,0.63686,2.6243,0.47775
KOSPI,서비스업,30435370515600,035420,20240329,보통주,36.24503,1.4536,18.32535,3.79412
KOSPI,서비스업,834023238100,181710,20240329,보통주,-96.27137,0.48241,4.97196,0.36214
KOSPI,서비스업,152975000000,400760,20240329,보통주,72.1848,0.75762,27.07293,6.97279
KOSPI,증권,3880491275700,005940,20240329,보통주,6.50752,0.47479,-3.1377,0.34914
KOSPI,증권,202485486640,005945,20240329,우선주,6.50752,0.47479,-3.1377,0.34914
KOSPI,서비스업,79678200000,338100,20240329,보통주,6.11772,0.709,-182.05714,5.34375
KOSPI,서비스업,456417315090,034310,20240329,보통주,128.49337,0.61752,1.64002,0.17697
KOSPI,서비스업,604683160200,030190,20240329,보통주,10.24977,1.51525,7.72079,1.18272
KOSPI,철강금속,133276545220,008260,20240329,보통주,3.41769,0.73274,1.62117,0.44815
KOSPI,화학,178826400000,004250,20240329,보통주,8.75005,0.62774,4.56555,0.45986
KOSPI,화학,14361600000,004255,20240329,우선주,8.75005,0.62774,4.56555,0.45986
KOSPI,화학,756103993500,456040,20240329,보통주,10.5991,0.83727,5.20515,0.42932
KOSPI,화학,1817500487400,010060,20240329,보통주,2.94986,0.55835,3.12185,0.79434
KOSPI,화학,641654135700,178920,20240329,보통주,-498.79428,2.84414,14.92477,4.1154
KOSPI,철강금속,35689059060000,005490,20240329,보통주,24.87694,0.69951,6.84913,0.54771
KOSPI,화학,8837749172000,010950,20240329,보통주,8.5532,0.89658,3.21323,0.22716
KOSPI,화학,198281001100,010955,20240329,우선주,8.5532,0.89658,3.21323,0.22716
KOSPI,서비스업,482332188000,034120,20240329,보통주,11.54176,0.61742,8.43022,0.53627
KOSPI,전기가스업,322048592550,005090,20240329,보통주,9.48293,0.54682,-11.99373,0.1321
KOSPI,운수장비,90377927430,001380,20240329,보통주,3.44557,0.49283,23.25208,0.71978
KOSPI,유통업,88054857600,004060,20240329,보통주,-89.06073,0.36998,33.42915,0.63947
KOSPI,철강금속,23167723460,001770,20240329,보통주,232.95267,0.50121,-2.26344,0.24173
KOSPI,화학,69903116170,002360,20240329,보통주,-27.61848,0.77852,16.70917,0.5315
KOSPI,철강금속,297050002640,009160,20240329,보통주,-39.78091,0.3661,4.01393,0.42192
KOSPI,운수장비,56177632800,123700,20240329,보통주,3.22273,0.29887,3.30653,0.28522
KOSPI,유통업,57197250640,025530,20240329,보통주,5.78656,0.32379,2.47779,0.27425
KOSPI,기타금융,13073221559400,034730,20240329,보통주,-16.95894,0.47598,1.16028,0.10038
KOSPI,화학,4210954737600,011790,20240329,보통주,-12.45171,2.18399,-14.61548,2.18422
KOSPI,유통업,1393766844000,018670,20240329,보통주,4.31905,0.51463,2.21326,0.19537
KOSPI,유통업,1305539621800,001740,20240329,보통주,-1933.55075,0.53791,10.78501,0.15051
KOSPI,기타금융,830334791000,006120,20240329,보통주,4.18529,0.25993,1.33113,0.08944
KOSPI,기타금융,42791332500,006125,20240329,우선주,4.18529,0.25993,1.33113,0.08944
